ATU Classification Type,AT Classification Type,Thompson Motif
,,
ATU 1 The theft of fish,AT 1 Fox steals fish by playing dead,K371.1. Trickster throws fish off the wagon.
,AT 1* Fox and rabbit steal a basket (now ATU 1),NA
ATU 2 Tail-Fisher,AT 2 How the Bear Lost His Tail,K1021 The tail fisher.
ATU 2A Torn-off Tails,AT 2A Caught by the Tail,K1021.1. Tail buried (hair tied)
ATU 2B Basket Tied to Wolf's Tail,AT 2B Trickster Drowns His Fishing Partner,K1021.2. Basket tied to wolf's tail and filled with stones.
ATU 3 Simulated Injury,AT 3 Sham Blood and Brains,K473. Sham blood and brains.
ATU 4 Sick Animal Carries Healthy One,AT 4 Getting a Ride by Pretending to be Injured,K1241. Trickster rides dupe horseback.
ATU 5 Biting the Tree Root,AT 5 Biting the Root,K543. Biting the foot.
ATU 6 Animal Captor Persuaded to Talk,AT 6 Open Your Mouth and Lose Your Meal,K561.1 Animal captor persuaded to talk and release victim from his mouth.
ATU 7 The three tree names,AT 7 Contest to Name Three Trees,N51 Wager: who can call three tree names first.
ATU 8 False Beauty Treatment,AT 8 Painting the Bear Red,"K1013.2 ""Painting"" on the haycock."
,AT 8A Curly Hair from Boiling Water (now ATU 8),K1013. False beauty-doctor.
ATU 9 The unjust partner,AT 9 The unjust partner,K1251.1 Holding up the roof.
,AT 9B Dividing the Harvest (now ATU 9),K171.2. Deceptive grain division: the corn and the chaff.
,AT 9C In cooking dinner the fox's porridge is light (now ATU 9),K471. The substituted porridge.
ATU 10*** The Fall Over the Edge,AT 10*** Over the edge,K891.5.1. Animals (giants) enticed over precipice.
ATU 15 Theft of Food by Playing Godfater,AT 15 Stealing the Partner's Butter,K372. Playing godfather.
ATU 20A Animals Caught In a Pit Eat One Another Up,AT 20 Eat the Smallest One First (now ATU 20A),K1024. Beginning with the smallest
,AT 20A The Animals in the Pit,K1024. Beginning with the smallest
ATU 20C The animals flee in fear of the end of the world,AT 20C The animals flee in fear of the end of the world,Z43.3. Nut hits cock in head: he thinks world is coming to an end.
ATU 21 Eating his own Entrails,AT 21 Eating his own Entrails,K1025. Eating his own entrails.
ATU 30 The Fox Tricks the Wolf into Falling into a Pit,AT 30 The Fox Leads the Wolf into a Pit,NA
ATU 31 Fox Climbs from the Pit on the Wolf's Back,AT 31 Escape from a Pit on Another's Back,K652. Fox climbs from pit on wolf's back.
ATU 32 The Wolf Descends into the Well in One Bucket and Rescues the Fox in the Other,"AT 32 One Bucket Down, One Bucket Up",K651. Wolf descends into well in one bucket and rescues fox in the other
ATU 33 The Fox Plays Dead and is Thrown out of the Pit and Escapes,AT 33 The Fox Plays Dead and Escapes from the Pit,K522. Escape by shamming death.
ATU 41 The Wolf Overeats in the Cellar,AT 33* Escape by Playing Dead (now ATU 41),K1022.1. Wolf overeats in the cellar (smokehouse).
ATU 41 The Wolf Overeats in the Cellar,AT 33** The Fox Plays Dead for a Boat Ride now ATU 41),K1022.1. Wolf overeats in the cellar (smokehouse).
"ATU 34 The Wolf Dives into the Water for
 Reflected Cheese",AT 34 Diving for the Moon,J1791.3. Diving for cheese.
ATU 34A Dog Drops His Meat for the Reflection,AT 34A The Meat in the Water,J1791.4. Dog drops his meat for the reflection.
ATU 36 The Fox Rapes the She-Bear,AT 36 The Hare Takes Advantage of Mrs. Fox,"K1384. Female overpowered when caught in tree
 cleft (hole in hedge)."
ATU 37 The fox as nursemaid for the Mother Bear,AT 37 The Nursemaid Eats the Children,K931. Sham nurse kills enemy's children.
ATU 37 The fox as nursemaid for the Mother Bear,AT 37* The Fox as Herdsman,K931. Sham nurse kills enemy's children.
ATU 38 Claw in Split Tree,AT 38 Claw in Split Tree,"K1111. Dupe puts hand (paws) into cleft of tree (wedge, vise)."
ATU 40A The Wolf and the Bell,AT 40 Bear Bells Itself by Eating a Belled Horse,K1114. Fox rings the bell.
ATU 41 The Wolf Overeats in the Cellar,AT 41 Overeating in the Pantry,K1022.1. Wolf overeats in the cellar (smokehouse).
ATU 41 The Wolf Overeats in the Cellar,AT 41* Overeating in a Hollow Tree (now ATU 41),K1022.1. Wolf overeats in the cellar (smokehouse).
"ATU 43 The Bear Builds a House of Wood; the Fox, of Ice",AT 43 A House of Wood and a House of Ice,J741.1. Bear builds house of wood; fox of ice.
ATU 44 The Oath on the Iron,AT 44 The Oath on a Trap,K1115. The oath on the iron.
ATU 47A The Fox Hangs Onto the Horse's Tail,AT 47A Catching a Horse by the Tail,K1022.2. Wolf tied to cow's horns.
ATU 47D Dog Wants to Imitate a Wolf,AT 47D The Dog Imitating a Wolf Wants to Slay a Horse,NA
ATU 47B Horse Kicks the Wolf in the Teeth,AT 47E The Message on the Horseshoe,"K566. Ass begs wolf to pull thorn out of foot before
 eating him: kicks wolf in mouth."
"ATU 48* Flatterer Rewarded, Honest One Punished",AT 48* Bear who went to the Monkey for the Gold Chain,J815.1. Liar rewarded by the apes.
ATU 49 The bear and the honey,"AT 49 The Fox, the Bear, and the Wasp's Nest",K1023. Getting honey from the wasp-nest.
ATU 50 Curing a Sick Lion,AT 50 Curing a Sick Lion,"K961. Flesh of certain animal alleged to be only cure
 for disease: animal to be killed."
ATU 50A Fox Sees all tracks going int Lion's Den but None Coming Out,AT 50A Tracks into the Lion's Den,"J644.1. Fox sees all tracks going into lion's den
 but none coming out."
ATU 50C Donkey Boasts of Having Kicked the Sick Lion,AT 50C Kicking the Dying Lion,W121.2.1. Ass insults dying lion.
ATU 51 The Lion's share,AT 51 The Lion's share,J811.1. The lion's share.
ATU 52 The Donkey without a Heart,AT 52 Brainless Ass,K402.3. The ass without a heart.
ATU 53 The Fox at Court,AT 53 Reynard the Fox at Court,"J864.2. Fox about to be hanged asks to be
 allowed to see geese."
ATU 55 The Animals Build a Road (Dig Well),AT 55 Keeping the Lazy Animal from the Well,"A2233.1. Animals refuse to help dig well
 (make road) and are punished."
ATU 56 The Fox Through Sleight Steals the Young Magpies,AT 56 The Jackal Steals a Baby Bird,"K1788. Fox threatens to catch bird, who feeds him her young as appeasement."
ATU 56A Fox Threatens to Cut Down Tree and Get Young Birds,AT 56A Fox Threatens to Cut Down Bird's Tree,"K1788. Fox threatens to catch bird, who feeds him her young as appeasement."
ATU 56B Fox as Schoolmaster,AT 56C Jackal as Schoolmaster (now ATU 56B),K1822.2. †K1822.2. Fox disguised as scholar
ATU 57 Raven with Cheese in his Mouth,AT 57 Singing Crow Loses Her Cheese,K334.1. The raven with cheese in his mouth.
ATU 59 Fox and the Sour Grapes,AT 59 The Fox and the Grapes,J871. The fox and the sour grapes.
ATU 60 The Fox and the Crane Invite Each Other,AT 60 The Fox and the Stork Exchange Invitations,J1565.1. Fox and crane invite each other.
ATU 61 The Fox Persuades the Cock to Crow with Closed Eyes,AT 61 The Cock that Closed an Eye on the Fox,K721. Cock persuaded to crow with closed eyes
ATU 20D* Pilgrimage of the Animals,AT 61A The Fox as Confessor,"K2027. Fox confesses to cock, then eats him"
"ATU 61B Cat, Rooster, and Fox","AT 61B The Cat, the Cock, and the Fox Live Together",K815.15. Cat lures young foxes from den with music.
"ATU 62 Peace Among the Animals
 – The Fox and the Rooster",AT 62 Universal Peace,J1421. Peace among the animals
ATU 63 The Fox Rids Himself of Fleas,AT 63 Fox with Fleas,K921. Fox rids himself of fleas.
ATU 2A Torn-off Tails,AT 64 Fox without a Tail (now ATU 2A),K1021.1. Tail buried (hair tied)
ATU 65 The She-Fox's Suitors,AT 65 Mrs. Fox's Suitors,N681.Husband (lover) arrives home just as wife (mistress) is to marry another.
"ATU 66A ""Hello House!""","AT 66A ""Hello House!""","K607.1. The cave call. (""Hello, house!"")"
