n_components,distance_threshold,linkage,min_stories_per_motif,silhouette_score,num_all_clusters,num_motif_clusters,compression_ratio,num_stories_without_motif,motif_cluster_entropy,between_motif_distance,thompson_recall,atu_prediction_accuracy
100,0.55,complete,2,0.06137671321630478,10648,9044,6.292569659442725,2,0.31781387,0.7712175,0.8771614906832299,0.3452685421994885
100,0.55,complete,3,0.06137671321630478,10648,6482,8.779697624190065,7,0.31781387,0.7480446,0.8542484472049688,0.32225063938618925
100,0.55,average,2,0.010038124397397041,3856,3290,17.29787234042553,2,0.41012692,0.77452874,0.8411180124223604,0.24040920716112532
100,0.55,average,3,0.010038124397397041,3856,2588,21.989953632148378,4,0.41012692,0.7499959,0.8360869565217393,0.21483375959079284
100,0.6,complete,2,0.04846828430891037,8231,7405,7.685347738014855,2,0.36093786,0.76413363,0.9214347826086956,0.2966751918158568
100,0.6,complete,3,0.04846828430891037,8231,5915,9.621301775147929,4,0.36093786,0.74460423,0.9050186335403727,0.289002557544757
100,0.6,average,2,-0.004972652532160282,2137,1912,29.764644351464437,2,0.46571124,0.7699731,0.8934409937888198,0.18925831202046037
100,0.6,average,3,-0.004972652532160282,2137,1609,35.36979490366687,4,0.46571124,0.74815696,0.8915155279503105,0.18414322250639387
100,0.65,complete,2,0.036771465092897415,6278,5905,9.637595258255715,1,0.40652794,0.7549156,0.9555031055900622,0.2864450127877238
100,0.65,complete,3,0.036771465092897415,6278,5154,11.041909196740395,3,0.40652794,0.74086815,0.9497639751552793,0.2813299232736573
100,0.65,average,2,-0.018828578293323517,1103,1031,55.1988360814743,0,0.52819973,0.76344377,0.9440062111801243,0.18925831202046037
100,0.65,average,3,-0.018828578293323517,1103,915,62.19672131147541,2,0.52819973,0.74400985,0.9440062111801243,0.18925831202046037
100,0.7,complete,2,0.02638222835958004,4773,4584,12.414921465968586,1,0.44991478,0.7442283,0.9879875776397515,0.27877237851662406
100,0.7,complete,3,0.02638222835958004,4773,4224,13.473011363636363,3,0.44991478,0.7340724,0.9879875776397515,0.27877237851662406
100,0.7,average,2,-0.035719119012355804,511,487,116.85831622176592,0,0.5913677,0.75083923,0.9824037267080745,0.14578005115089515
100,0.7,average,3,-0.035719119012355804,511,449,126.74832962138085,1,0.5913677,0.73376024,0.9824037267080745,0.14066496163682865
150,0.55,complete,2,0.07276986539363861,12759,9572,5.9454659423318015,3,0.3075274,0.79104674,0.793391304347826,0.33248081841432225
150,0.55,complete,3,0.07276986539363861,12759,5983,9.511950526491727,12,0.3075274,0.7663226,0.775,0.3273657289002558
